,level_0,index,article_name,country,revision_id,scores,population
13068,13068,5132,Johannes Christoffel Krogh,South Africa,721997122,Start,57700000
13069,13069,5317,Edward Mhinga,South Africa,722745112,Stub,57700000
13070,13070,5353,Henry Barrington,South Africa,722941632,Start,57700000
13071,13071,5432,Zachariah Alpheus Mahlomola Molotsi,South Africa,723177421,Stub,57700000
13072,13072,5483,Nkosiphendule Kolisile,South Africa,723364869,Stub,57700000
13073,13073,5520,Qaqambile Matanzima,South Africa,723506287,C,57700000
13074,13074,5818,George Phadagi,South Africa,724505641,Start,57700000
13075,13075,5830,Richard Stuttaford,South Africa,724550483,Start,57700000
13076,13076,5853,Nosipho Ntwanambi,South Africa,724647215,Stub,57700000
13077,13077,5879,John Taolo Gaetsewe,South Africa,724812020,Stub,57700000
13078,13078,6115,Nicolaas Waterboer,South Africa,725313719,Start,57700000
13079,13079,6139,Andries Nel,South Africa,725403514,Stub,57700000
13080,13080,6416,Bulelwa Tinto,South Africa,726683861,Stub,57700000
13081,13081,6490,Juanita Terblanche,South Africa,726897880,Start,57700000
13082,13082,6553,George Matanzima,South Africa,727722267,Stub,57700000
